id,LamisQuestion,LamisAnswer,nmrsconceptid,nmrsanswerid
10,Marital Status,Single,1054,135704
10,Marital Status,Married,1054,5555
10,Marital Status,Widowed,1054,1059
10,Marital Status,Divorced,1054,1058
10,Marital Status,Separated,1054,1056
11,Education,Senior Secondary,1712,1714
11,Education,Post Secondary,1712,160292
11,Education,Primary,1712,1713
11,Education,Junior Secondary,1712,163122
11,Education,None,1712,1107
11,Education,Quranic,1712,5622
12,Occupation,Employed,1542,1540
12,Occupation,Unemployed,1542,123801
12,Occupation,Student,1542,159465
12,Occupation,Retired,1542,159461
20,Son,RELATION_KIN,164943,160727
20,Daughter,RELATION_KIN,164943,160728
20,Spouse,RELATION_KIN,164943,5622
20,Sister,RELATION_KIN,164943,160730
20,Uncle,RELATION_KIN,164943,974
20,Brother,RELATION_KIN,164943,160729
20,Mother,RELATION_KIN,164943,970
20,Cousin,RELATION_KIN,164943,5622
20,Father,RELATION_KIN,164943,971
20,Aunt,RELATION_KIN,164943,975
20,Treatment Supporter,RELATION_KIN,164943,5622
20,Friend,RELATION_KIN,164943,5618
21,Care Entry Point,TB DOTS,160540,160541
21,Care Entry Point,HCT,160540,160539
21,Care Entry Point,OPD,160540,160542
21,Care Entry Point,PMTCT,160540,160538
21,Care Entry Point,In patients,160540,160536
21,Care Entry Point,ANC/PMTCT,160540,160538
21,Care Entry Point,Outreaches,160540,160545
21,Care Entry Point,Transfer-in,160540,160563
50,Baseline Clinic Stage,Stage I,5356,1204
50,Baseline Clinic Stage,Stage III,5356,1205
50,Baseline Clinic Stage,Stage II,5356,1206
50,Baseline Clinic Stage,Stage IV,5356,1207
51,Baseline Functional Status,Working,165039,159468
51,Baseline Functional Status,Ambulatory,165039,160026
51,Baseline Functional Status,Bedridden,165039,162752
52,First Regimen Line,ART First Line Adult,165708,164506
52,First Regimen Line,ART Second Line Adult,165708,164513
52,First Regimen Line,ART First Line Children,165708,164507
52,First Regimen Line,ART Second Line Children,165708,164514
53,ART First Line Adult,ABC-3TC-AZT,164506,817
53,ART First Line Adult,ABC-3TC-DDI,164506,165526
53,ART First Line Adult,ABC-3TC-DTG,164506,165691
53,ART First Line Adult,ABC-3TC-EFV,164506,162563
53,ART First Line Adult,ABC-3TC-NVP,164506,162199
53,ART First Line Adult,ABC-3TC-TDF,164506,166181
53,ART First Line Adult,ABC-FTC-DTG,164506,165692
53,ART First Line Adult,ABC-FTC-EFV,164506,166179
53,ART First Line Adult,ABC-FTC-NVP,164506,165690
53,ART First Line Adult,AZT-3TC-DTG,164506,166187
53,ART First Line Adult,AZT-3TC-EFV,164506,160124
