concept_id,name,datatype_id,
1,Anemia due to Blood Loss,4,
2,"ANEMIA, HEMOLYSIS",4,
3,ANEMIA,4,
4,ASTHMA EXACERBATION,4,
5,ASTHMA,4,
6,BCG,4,
7,Gallbladder Calculus,4,
8,BILIARY TRACT DISEASE NOT OTHERWISE SPECIFIED,4,
9,BLOOD SUGAR,1,
10,"BRONCHITIS, ACUTE",4,
11,"BRONCHITIS, RECURRENT",4,
12,"X-ray, chest",2,
13,PILLS,4,
14,"DIARRHEA, AMOEBIASIS",4,
15,"DIARRHEA, CHOLERA",4,
16,DIARRHEA,4,
17,DIPTHERIA TETANUS BOOSTER,4,
18,DPT VACCINATION,4,
19,DPT VACCINATION NO.2,4,
20,DPT VACCINATION NO.3,4,
21,Hemoglobin,1,
22,HEPATITIS A VACCINATION,4,
23,HEPATITIS B VACCINATION,4,
24,HEPATITIS B VAX NO.2,4,
25,HEPATITIS B VAX NO.3,4,
26,HEPATITIS A,4,
27,HEPATITIS B,4,
28,Viral Hepatitis C,4,
29,HEPATITIS,4,
30,HIV POS,4,
31,SERVICES ORDERED,4,
32,MALARIAL SMEAR,2,
33,"MALARIA, MILD",4,
34,"MALARIA, SEVERE",4,
35,"MALARIA, PRESUMED",4,
36,MEASLES VACCINATION,2,
37,MENSTRUAL DYSFUNCTION,4,
38,ORAL POLIO VACCINATION,4,
39,ORAL POLIO VAX NO.2,4,
40,ORAL POLIO VAX NO.3,4,
41,PAPANICOLAOU SMEAR,2,
42,"PNEUMONIA, TUBERCULOUS",10,
43,PNEUMONIA,4,
44,PREGNANCY,4,
45,URINE PREGNANCY TEST,2,
46,Ectopic Pregnancy without Intrauterine Pregnancy,4,
47,"Pregnancy, hypertension associated",4,
48,"Pregnancy, miscarriage",2,
49,Vesico-vaginal fistula,10,
50,Personal History of Abortion,4,
51,RICKETS,4,
52,SCURVY,4,
53,STOOL MICROSCOPY,2,
54,TETANUS BOOSTER,2,
55,URINARY TRACT INFECTION,4,
56,URINE MICROSCOPY,3,
57,YELLOW FEVER,4,
58,TUBERCULOSIS,4,
59,LEPROSY,4,
60,MENINGITIS,4,
61,WHOOPING COUGH,4,
62,CHICKEN POX,4,
63,MEASLES,4,
64,MUMPS,4,
65,GONORRHOEA,4,
66,BILHARZIA,4,
67,INTESTINAL WORMS,4,
68,MALNUTRITION,4,
69,EYE INFECTIONS,4,
70,CATARACT,4,
71,EAR INFECTIONS,4,
72,CIRCULATORY DISEASE,4,
73,RESPIRATORY DISEASE NOS,4,
74,DISEASE OF PUERPERIUM AND CHILDBIRTH,4,
75,NEOPLASM,4,
76,DISEASE OF BLOOD AND BLOOD FORMING ORGANS,4,
77,MENTAL DISORDERS,4,
78,DENTAL DISORDERS,4,
79,SKIN DISORDERS,4,
80,Joint pain,4,
81,CONGENITAL DISORDERS,4,
82,PYREXIA OF UNKNOWN ORIGON(PUO),4,
83,"TOXICITY, NOT OTHERWISE SPECIFIED",4,
84,"ACCIDENT, NOT OTHERWISE SPECIFIED",4,
85,UNCLASSIFIED DISEASES,4,
86,"ACCIDENT, MOTOR VEHICLE",4,
87,SULFADOXINE AND PYRIMETHAMINE,4,
88,ASPIRIN,4,
89,PARACETAMOL,4,
90,PENICILLIN V (ORAL) TABS,4,
91,Primsol,4,
92,DAPSONE,4,
93,CO-TRIMOXAZOLE,4,
94,BETADINE,4,
95,DOXYCYCLINE,4,
96,MEFLOQUINE,4,
97,PROGUANIL,4,
98,CHLOROQUINE,4,
99,FUROSEMIDE,4,
100,GENTAMICIN,4,
101,"X-RAY, ABDOMEN",2,
102,"Toxicity, drug",4,
103,HIV ANTIBODY,2,
104,AIDS,4,
105,Intravenous drug use,4,
106,Acute Coryza,4,
107,COUGH,4,
108,Bronchospasm,4,
109,"WOUND, SEPTIC",4,
110,LACERATION,4,
111,Dyspepsia,4,
112,Tonsillitis,4,
113,Furunculosis,4,
114,OTITIS MEDIA,4,
115,MASTITIS,4,
116,ARTHRITIS,4,
117,CONJUNCTIVITIS,4,
118,EYE PROBLEM OTHER,4,
119,Dermatitis,4,
120,Allergic dermatitis,4,
121,Myalgia,4,
122,CHICKEN POX,4,
123,MALARIA,4,
124,AMOEBIASIS,4,
125,HEAD INJURY,4,
126,GINGIVITIS,4,
127,Dysmenorrhoea,4,
128,"Wound, deep",4,
129,"RHINITIS, ALLERGIC",4,
130,Puerperal sepsis,4,
131,DENTAL CARIES,4,
132,STY,4,
133,GOITER,4,
134,Cellulitis,4,
135,BURN,4,
136,CHEST PAIN,4,
137,ASTHMA,4,
138,ABSCESS,4,
139,VAGINITIS,4,
140,Scabies,4,
141,Typhoid fever,4,
142,ALLERGY,4,
143,LUMBAGO,4,
144,TINEA CAPITIS,4,
145,LABOR PAIN,4,
146,"LABOR PAIN, FALSE",4,
147,Bronchitis,4,
148,INJURY,4,
149,CERVICITIS,4,
150,PHARYNGITIS,4,
151,Abdominal pain,4,
152,Dysentery,4,
153,GUD,4,
154,PUD,4,
155,Epilepsy,2,
156,WOUND NOS,4,
157,FEVER NOS,4,
158,PID,4,
159,Deceased,4,
160,BRUCELLOSIS,4,
161,LYMPHADENOPATHY,4,
162,Polymenorrhea,4,
163,FOREIGN BODY,4,
164,WORMS NOS,4,
165,SEXUAL ASSAULT,4,
166,"Bite, dog",4,
167,"BITE, ANIMAL",4,
168,"Bite, human",4,
169,URETHRITIS,4,
170,RHEUMATISM,4,
171,Fungal infection,4,
172,GASTRITIS,4,
173,EPISTAXIS,4,
174,SEXUALLY TRANSMITTED INFECTION,4,
